6242.511,6245.103,dis_proj_198_gpu
6259.595,6263.275,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6266.187,6268.779,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6271.595,6275.371,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6277.003,6279.595,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6282.315,6286.059,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6283.983,6286.575,dis_proj_198_gpu
6287.947,6290.763,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6307.083,6308.491,void copy_kernel<double2>(cublasCopyParams<double2>)
6323.755,6325.099,void copy_kernel<double2>(cublasCopyParams<double2>)
6328.815,6331.439,dis_proj_198_gpu
6371.183,6373.871,dis_proj_198_gpu
6376.682,6379.307,fftwav_229_gpu
6413.199,6415.855,dis_proj_198_gpu
6419.85,6421.098,fftwav_259_gpu
6457.194,6460.874,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6458.223,6460.847,dis_proj_198_gpu
6463.37,6465.93,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6469.066,6472.874,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6474.378,6476.938,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6479.466,6483.274,void regular_fft<7u, 7u, 64u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6484.81,6487.626,void regular_fft<2u, 2u, 256u, (padding_t)1, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, double>(kernel_arguments_t<unsigned int>)
6498.991,6501.583,dis_proj_198_gpu
6537.93,6540.522,fftwav_229_gpu
6539.982,6542.575,dis_proj_198_gpu
6580.042,6581.29,fftwav_259_gpu
6580.239,6582.863,dis_proj_198_gpu
